Timestamp,Divisions,Team Number (of the team you're scouting),Team Name (same idea as above),Drivebase,Vibe Check! (of robot not people),Over/Under Bumper Ground Pickup,Comments?,Programming Language,Scoring Ability (in auto),Leave Zone Auto?,Comments (about auto),Camera Usage? (to assist drivers),Scoring Ability (in teleop),Scoring Preference (in teleop),Pickup Ability,Pickup Preference,Can they score in trap?,Can they get onstage (hang)?,Final Comments
4/4/2024 9:05:25,Mercury,4641,Talon Inc.,Swerve,4,Under-Bumper,,Java,Both,Yes,,Yes,Both,Speaker,Ground,Ground,No,Yes,
4/4/2024 9:06:36,Apollo,7121,keller fusion robotics,Swerve,5,Over-Bumper,they use limelight to auto shoot with one button ,Java,Both,Yes,very flexible with auto (4-5 notes),Yes,Both,Amp,Both,Ground,No,Yes,"10-15 secs to hang, "
4/4/2024 9:06:37,Apollo,9786,Wolf Pack,Tank,3,Sourced ,,Java,None,Yes,,No,Speaker,Speaker,Source,Source,Yes,No,
4/4/2024 9:08:09,Mercury,8598,Electro Knights,Swerve,4,Over-Bumper,,Java,Speaker,Yes,,Yes,Both,Speaker,Ground,Ground,No,Yes,
4/4/2024 9:08:28,Apollo,7155,Red Lion Bots,Tank,3,Source,,Java,None,Yes,,No,None,None,None,None,No,No,
4/4/2024 9:10:17,Apollo,9080,Enigma,Swerve,4,Over-Bumper,,Java,Speaker,Yes,Only score preload and then drive past line,Yes,Both,Speaker,Ground,Ground,No,Yes,In endgame they finish their cycle and then go climb and they can harmonize. They cycle under stage
4/4/2024 9:11:24,Apollo,7691,tsa all stars,Swerve,4,Under-Bumper,climbers are independent so they can harmonize easy and are fast amp scorers,Java,Speaker,Sometimes,“hopefully it gets improved”,Yes,Both,no preference ,Both,no preference ,No,Yes,2 drive teams and 10-15 notes in a game 
,,,,,,,,,,,,,,,,,,,
4/4/2024 9:14:11,Mercury,9752,Itkan Robotics,Swerve,5,Under-Bumper,,Java,Both,Yes,,Yes,Both,Both,Ground,Ground,No,Yes,Very fast climb
4/4/2024 9:15:37,Apollo,8177,vector ,Swerve,5,Under-Bumper,new climb since this morning ,Java,Speaker,Yes,semi consistent 4 note auto (they said it’s wacky so idk),No,Both,no preference,Ground,Ground,No,Sometimes,they do not seem confident in the robot erm
4/4/2024 9:16:20,Apollo,5212,Tamsformer,Swerve,4,Over-Bumper,"Intake is pretty solid, if hit can continue. Quick repairs ",C++,Speaker,Yes,"Guaranteed 2 note auto, 3 notes is reasonable ",Yes,Both,Depends on the alliance partners ,Ground,Ground,No,Sometimes,"Steel bellypan, good torque, L1 gear ratio, quick acceleration, note might get stuck"
4/4/2024 9:17:30,Apollo,9054,Johnson City Joules,Tank,4,No Ground Pickup,,Java,Speaker,Yes,Score preload and then back up over the line. Can start from any of the 3 positions around subwoofer,No,Speaker,Speaker,Source,Source,No,Yes,Takes roughly 10-20 seconds to climb. Pretty much an everybot 
4/4/2024 9:25:46,Mercury,4641,talon inc,Swerve,3,Under-Bumper,the frame got bent inward last comp,Java,Speaker,Yes,"22 notes, 4 note auto",Yes,Both,Speaker,Ground,Ground,No,Yes,"cool climb, their robot has been hit so much i feel bad"
4/4/2024 9:29:53,Apollo,5414,Pearadox,Swerve,3,Under-Bumper,,Java,Both,Yes,Score up to 5 notes pretty consistently all into speaker,Yes,Both,Speaker,Ground,Ground,Yes,Yes,"Doesn't tip when fully extended, notes don't get stuck often, this robots first time in comp. Really easy to fix broken parts"
4/4/2024 9:30:07,Mercury,5103,jargernauts,Swerve,4,Over-Bumper,“better than the last one”,Java,Speaker,Yes,,No,Speaker,no preference ,Both,Ground,No,Sometimes,"they had a problem with climbing so they increased tension, “it’s nice”"
4/4/2024 9:37:38,Mercury,5411,robotalons,Swerve,5,Under-Bumper,bi directional intake,Java,Speaker,Yes,"four piece center and preload note, ",No,Both,no preference ,Ground,Ground,No,Yes,"they can harmonize, they can shoot on the move for speaker, super fast (go across the field in 2.5 seconds) 10 secs or less cycle times"
4/4/2024 9:45:19,Mercury,7616,Cerberus,Swerve,2,Over-Bumper,"Very top heavy, entire intake and shooter is on a winch.",Java,Speaker,Yes,,Yes,Both,Amp,Ground,Ground,No,No,
4/4/2024 9:45:28,Mercury,5503,tiger trons,Tank,2,Over-Bumper,cloth on top to let notes slide off,Java,Speaker,Yes,,No,amp is in progress but they can do speaker,Speaker,Ground,Ground,No,Yes,"they can harmonize, everything is neos"
4/4/2024 9:48:19,Mercury,5829,awtybots,Swerve,4,Over-Bumper,it’s compact and low to the ground ,Java,Speaker,Yes,versatile bc they can run auto from all spots,Yes,Both,Amp,Ground,Ground,No,No,cycle times are 10
4/4/2024 9:49:51,Mercury,9478,Robo-colts,Swerve,4,Under-Bumper,Looks like last year's robot,Java,Speaker,Yes,,Yes,Both,Speaker,Both,Ground,No,Yes,
4/4/2024 9:54:24,Mercury,8370,Glow with the Flow,Tank,2,Under-Bumper,,Java,Both,Yes,,Yes,Both,no preference both cycles same time,Both,Ground,Yes,Yes,
4/4/2024 9:55:16,Mercury,9492,ladytalons,Swerve,5,technically it’s in the bumper,,Java,Speaker,Yes,side auto,No,Both,no preference,Both,Ground,No,Yes,
4/4/2024 9:59:25,Mercury,8507,Heritage Jaguar Robotics,Tank,3,No Ground Pickup,They have 2 bots,LabView,Speaker,Yes,,Yes,Speaker,Speaker,Source,Source,No,Yes,"A modified kitbot, team also has their own design but it is reportedly not shooting well so they will most likely be using this robot."
4/4/2024 10:00:39,Mercury,8507,Heritage Jaguar Robotics,Swerve,3,Over-Bumper,They have 2 bots,LabView,Both,Yes,,Yes,Both,Amp,Both,Ground,No,Yes,Other design of 8507
4/4/2024 10:19:52,Apollo,4192,Jaguar robotics ,Swerve,3,Over-Bumper,"110 pound without bumper, fairly fast, good at defense. L3 MK4 gear ratio for swerve",Java,Speaker,Yes,Consistent 4 note auto. Has variations,Yes,Both,No preference ,Ground,Ground,No,Sometimes,"Haven't tested climb, but was consistentish. Intake can survive some hits and is quickly fixable"
