,Team Number,Team Name,Height (in),Width (in),Drivebase,Vibe Check!,Comments?,Programming Language,Scoring Ability,Leave Zone,Comments (about auto),Camera Usage?,Scoring Ability,Scoring Preference,Pickup Ability,Pickup Preference,Can they score in trap?,Can they get onstage?,Final Comments,Over/Under Bumper Ground Pickup,Over-Bumper or Under-Bumper Ground Pickup
2/29/2024 19:16:04,8088,Bionic Panthers,26.5,26.5,Swerve,4,Ground intake,Java,Both,Yes,"Scores preload from all sides, scores two from front w/ground intake ",Yes,Both,Speaker,Both,Source,No,No,Solid team,Under-Bumper,
2/29/2024 19:20:13,5613,Thunderdogs,24-36 inches,26,Mecanum,4,,Java,"Not operational, hopes to shoot and then move",Sometimes,Not operational,No,Both,Speaker,Both,Ground,Yes,Yes,Best at delivering?,Under-Bumper,
2/29/2024 19:23:11,3481,bronkbotz,40,30x30 not bumpers,Swerve,4,no ground,Java,Speaker,Yes,,No,Both,Flexible,Source,Source,No,Yes,nice people,No Ground Pickup,
2/29/2024 19:39:14,1164,Project Neo,29,29,Swerve,4,,Java,Speaker,Yes,Good,Yes,Prefer speaker,Speaker,Ground,Ground,No,Yes,,Under-Bumper,
2/29/2024 19:57:52,6974,Zia Robotics,24,26.5,Swerve,4,"Intake because it drives over the notes to pick them up easily
Very slightly rectangular bases and height is somewhere less than 24in",Java,Both,Yes,Best auto is center shoot and backup,Yes,Both,Speaker,Ground,Ground,No,Yes,A lot of adults were working on the robot but at least students were able to talk about their robot,Under-Bumper,
2/29/2024 20:09:42,8769,G. O. R. T. s,23.5,25.75,West coast drive Omni wheels front+tank,4,Under stage,Java,Speaker,Yes,"Currently Only scores pre load, working on code for ground pickup inauto. Ausots for both sides, not in front",No,Both,Amp,Ground,Ground,No,Yes,,Over-Bumper,
2/29/2024 20:17:07,2158,Austin Cans,26.5,26,Swerve,4,,Java,Speaker,Yes,,Yes,Both,Speaker,Both,Ground,No,No,,Over-Bumper,
2/29/2024 19:27:59,8858,Beast from the East,26,28,Tank,5,"Running smooth, needed help with electronics?",Java,Speaker,Yes,"Can start in any position, score preload",Yes,Speaker,Speaker,Ground,Ground,No,Yes,may be able to harmonize,Over-Bumper,
2/29/2024 19:30:56,2881,Lady cans,25,27.5,Swerve,5,,Java,Both,Yes,Prefer speaker,Yes,Both,Speaker,Both,Ground,Sometimes,Yes,,Under-Bumper,
2/29/2024 19:35:29,3005,robochargers ,30,28,Swerve,5,,Java,Both,Yes,,Yes,Both,Don’t care,Both,Ground only,No,Yes,,Under-Bumper,
2/29/2024 19:36:08,9088,mark infinity ,27,"24 x 24, w/ bumpers +3",Swerve,5,,Java,"Still working with pathfinder, no auto",Sometimes,Trying to get the first note into scoring,Yes,Reliable ,Both,Ground,Ground,No,Yes,"Can harmonize, yes for ranking points",Over-Bumper,
2/29/2024 19:44:54,1745,P-51 Mustangs,27,33,Swerve,5,,Java,Both,Yes,,Yes,Both,Speaker,Both,Ground,Sometimes,Yes,,Under-Bumper,
2/29/2024 20:02:00,8874,cybirds,24,20-22 or 28,Swerve,5,They r using the new flexes,Java,They don’t kne,Sometimes,,Yes,Both,If not amplified then amp,Ground,Ground,Sometimes,Yes,Can harmonize with two,Under-Bumper,
2/29/2024 20:05:21,7125,Tigerbotics,21,25.5,Tank,5,fav robot intake + shooting because it works,Java,Speaker,No,Either side (not middle) shoot preload and backup (DOESN’T WORK YET),No,Both,Speaker,Ground,Ground,No,No,"Reported several issues with the robot - no confirmed auto, no climb, forgot the camera, etc.",Under-Bumper,
2/29/2024 20:20:48,3310,Black Hawk,27,29.5 w/o bumpers,Swerve,5,,Java,Both,Yes,,Yes,Both,Either,Ground,Ground,Yes,Yes,,Under-Bumper,
